Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
OranjeThomasvan,OranjeThomasvan,,0,1376,1,5,6,1,5,6,18,0.092779,0.102951,5.5,0.00006,0.007384,0.000168,0,0.001803,2
hoterminus,hoterminus,,0,1377,0,2,2,0,2,2,1,1,1,0,0,0.003251,0.000143,0,0,2
tondelange2,tondelange2,,0,634,1,10,11,1,12,13,14,0.131198,0.15183,77501.514235,0.001807,0.022376,0.000263,0,0.009009,1
pietjep98638711,pietjep98638711,,0,1378,0,5,5,0,9,9,14,0.142406,0.180317,0,0,0.003777,0.000143,0.05,0,2
SimoneBartels3,SimoneBartels3,,0,1379,0,2,2,0,2,2,16,0.116407,0.135315,0,0,0.000205,0.000143,0,0,2
stopmetstoken,stopmetstoken,,0,1380,0,2,2,0,2,2,18,0.099682,0.116567,0,0,0.03297,0.000143,0.5,0,1
analons,analons,,0,759,1,2,3,1,2,3,2,0.666667,0.75,2.333333,0.000683,0.011527,0.000155,0,0.001803,2
yangmuda99,yangmuda99,,0,1382,0,2,2,0,2,2,22,0.073309,0.087934,0,0,0.000157,0.000143,0,0,1
Spaardam11,Spaardam11,,0,1381,1,2,3,1,2,3,21,0.078949,0.098945,1042,0.000008,0.000316,0.000204,0,0.001803,1
primevideonl,primevideonl,,0,506,3,0,3,3,0,3,0,0,0,0,0.004612,0,0.000213,0,0.010788,1
Pitzi14589748,Pitzi14589748,,0,1383,0,5,5,0,5,5,20,0.082892,0.101637,0,0,0.069735,0.000143,0.15,0,1
Fred65108271,Fred65108271,,0,1384,1,1,2,1,1,2,4,0.416667,0.516667,0,0.000183,0,0.000242,0,0.002328,2
JoKer33817736,JoKer33817736,,0,1384,1,3,4,1,3,4,3,0.625,0.766667,4,0,0.003652,0.00035,0,0.002328,2
Lookhill2020,Lookhill2020,,0,1385,0,2,2,0,2,2,18,0.099778,0.118685,0,0,0.007551,0.000143,0.5,0,2
jadejoosten,jadejoosten,,0,624,1,0,1,1,0,1,0,0,0,0,0,0,0.000273,0,0.002402,1
