Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
Dutchdude101,Dutchdude101,,0,3045,0,2,2,0,2,2,1,1,1,0,0,0.013407,1,0.000113,0,0
Garrincha777,Garrincha777,,0,3046,0,3,3,0,3,3,2,0.8,0.875,0,0,0.029524,1,0.000113,0.166667,0
JvS85861130,JvS85861130,,0,3047,0,1,1,0,1,1,2,0.6,0.666667,0,0,0.000397,4,0.000113,0,0
Luca61207963,Luca61207963,,0,3048,0,1,1,0,1,1,1,1,1,0,0,0.013305,0,0.000113,0,0
GeaMeijers,GeaMeijers,,0,3049,0,1,1,0,1,1,1,1,1,0,0,0.003961,0,0.000113,0,0
GelderToi,GelderToi,,0,1900,1,2,3,1,2,3,1,1,1,1,0.001009,0.001162,0,0.000122,0.166667,0.001911
TPOnl,TPOnl,,0,418,6,0,6,6,0,6,0,0,0,0,0.009112,0,0,0.000261,0,0.01587
satefuta,satefuta,,0,3051,1,3,4,1,4,5,1,1,1,3,0.000392,0.00412,0,0.000137,0,0.001911
frans_nijhof,frans_nijhof,,0,3053,0,2,2,0,2,2,1,1,1,0,0,0.001648,0,0.000113,0,0
MiepieB,MiepieB,,0,3052,1,0,1,1,0,1,0,0,0,0,0.000081,0,0,0.000161,0,0.001911
Gwn_Harm,Gwn_Harm,,0,3054,0,1,1,0,1,1,2,0.666667,0.75,0,0,0.003691,4,0.000113,0,0
GrauweGrutjes,GrauweGrutjes,,0,3055,0,1,1,0,2,2,1,1,1,0,0,0.006854,0,0.000113,0,0
dwarsbalk9,dwarsbalk9,,0,442,1,1,2,1,2,3,1,1,1,0,0.001287,0.013305,0,0.000126,0.5,0.004577
gazzagain,gazzagain,,0,3056,0,1,1,0,1,1,1,1,1,0,0,0.001291,0,0.000113,0,0
_Salticidae_,_Salticidae_,,0,3057,1,3,4,1,3,4,1,1,1,3,0.000064,0.005016,4,0.000161,0,0.001911
011Xander,011Xander,,0,3058,0,2,2,0,2,2,2,0.625,0.7,0,0,0.001294,0,0.000113,0,0
bruhlife101,bruhlife101,,0,3060,0,2,2,0,2,2,1,1,1,0,0,0.001294,0,0.000113,0,0
MallePietje66,MallePietje66,,0,2863,1,0,1,1,0,1,0,0,0,0,0.00169,0,0,0.00012,0,0.001911
Rent_an_Idiot,Rent_an_Idiot,,0,3062,0,2,2,0,5,5,1,1,1,0,0,0.000001,5,0.000113,0,0
Vliegtuigspott2,Vliegtuigspott2,,0,3061,1,0,1,2,0,2,0,0,0,0,0,0,5,0.000161,0,0.001911
tiger_caroline,tiger_caroline,,0,3064,0,3,3,0,3,3,3,0.625,0.766667,0,0,0.000096,4,0.000113,0.166667,0
Ricardofortes42,Ricardofortes42,,0,3063,1,2,3,1,3,4,2,0.75,0.833333,2,0.000005,0.00024,4,0.000145,0.166667,0.001911
46Robbie,46Robbie,,0,1726,1,0,1,1,0,1,0,0,0,0,0.000999,0,2,0.000121,0,0.002399
DennisScheepst1,DennisScheepst1,,0,1598,1,0,1,1,0,1,0,0,0,0,0.001717,0,1,0.000131,0,0.002461
Nelliejs501,Nelliejs501,,0,2594,1,0,1,1,0,1,0,0,0,0,0.000306,0,2,0.000145,0,0.001911
debrotherofEdd1,debrotherofEdd1,,0,3065,0,3,3,0,3,3,26,0.081497,0.10076,0,0,0.000046,0,0.000113,0.333333,0
ChrisJulien,ChrisJulien,,0,499,2,0,2,3,0,3,0,0,0,0,0.00007,0,0,0.000167,0.5,0.004871
PVVZaanstad,PVVZaanstad,,0,502,2,6,8,2,8,10,25,0.088577,0.115289,687,0.000748,0.001384,0,0.000156,0.119048,0.00444
DeOrkaan,DeOrkaan,,0,498,3,0,3,4,0,4,0,0,0,0,0.00012,0,0,0.000186,0.166667,0.006782
HenryBenjamins,HenryBenjamins,,0,3066,0,1,1,0,1,1,1,1,1,0,0,0.013305,0,0.000113,0,0
MrJvP,MrJvP,,0,3067,0,1,1,0,1,1,1,1,1,0,0,0.013305,0,0.000113,0,0
yvanlunzen,yvanlunzen,,0,3069,0,3,3,0,3,3,1,1,1,0,0,0.001847,4,0.000113,0,0
wltrrr,wltrrr,,0,3068,1,0,1,1,0,1,0,0,0,0,0.000091,0,4,0.000145,0,0.001911
abrahamsebly,abrahamsebly,,0,981,1,1,2,1,1,2,2,0.555556,0.6,0,0.000074,0.000154,1,0.000194,0,0.004791
Zwartepiet_eu,Zwartepiet_eu,,0,981,5,5,10,8,11,19,1,1,1,44,0.003136,0.001506,1,0.000478,0.035714,0.013313
TheadeJong3,TheadeJong3,,0,3070,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.028685,1,0.000113,0.5,0
l_vdbrink,l_vdbrink,,0,3071,0,1,1,0,1,1,1,1,1,0,0,0.001291,0,0.000113,0,0
Harrie55768285,Harrie55768285,,0,3072,0,3,3,0,3,3,2,0.8,0.875,0,0,0.04199,1,0.000113,0.166667,0
DeGelderlander,DeGelderlander,,0,840,10,0,10,12,0,12,0,0,0,0,0.00077,0,0,0.000897,0,0.01911
Eaglehaslanded0,Eaglehaslanded0,,0,3076,0,19,19,0,20,20,19,0.102296,0.147911,0,0,0.030577,0,0.000113,0.026316,0
HumbertoTan,HumbertoTan,,0,3075,1,0,1,1,0,1,0,0,0,0,0.001503,0,0,0.000118,0,0.001911
