clean_text_string,modularity_class
kozp gevlucht volendam dag stuk,2
blanke mannen wit racistisch taalgebruik kozp demononstranten gewoon bende terroristen,2
jullie minderwaardig voelen ga therapie neem simons mee begint g,2
vreedzame demonstranten weten demonstratie aangekondigd wel erg onnozel,2
vreedzaam kozp terroristische organisatie gefinancierd ned,2
volendam vreedzame demonstranten vragen toestemming kondigen protest veroorzaken overlas,2
helemaal mee trots volendam fijne mensen harde werkers tuig kozp massel ijselmeer geschopt,2
crimineel gedrag gaat wel goed enne groep kozp veroordeeld hielden gisteren afstand volendam,2
zwartepietenjournaal zit weer we sluiten af nieuwste liedje coole piet diego sinterklaas pakjesavond 5december zwartepiet kijk hele aflevering,3
laatste aflevering zwartepietenjournaal gemist mooie gedicht fvd leest sinterklaas pakjesavond 5december zwartepiet kijk hele aflevering,3
sinterklaas erelidmaatschap omroep ongehoord nederland voorzitter arnold ontvangen tijd feestje zwartepiet pakjesavond zwartepietenjournaal kijk hele aflevering,3
4e laatste aflevering zwartepietenjournaal 2021 zien 5december verjaardag sinterklaas mooie gedichten liedjes oplossing raadsel pakje naam zwartepiet pakjesavond,3
bovenaf mooie sinterklaasfeest kapot gemaakt zegt martin bosma pvv zoveelste linkse mode zwartepiet woke zie hele interview,3
sinterklaasfeest gesloopt linkse woke mensen meent pvv verdwijnen fijne nederlandse traditie zwartepiet 5 december,3
3e aflevering zwartepietenjournaal gemist afgevraagd favoriete liedjes coole piet diego zwartepiet kijk hele aflevering,3
kraampje ingrid markt adres tuperware aankopen volendam kozp,2
visschotel besteld volendam kozp bij1 sylvanasimons pvv dvd sinterklaas,2
groeten volendam kozp,2
wauw nooit geweten elton john zus volendam kozp,2
volendam bedankt kozp,2
tring tring hallo kozp mogen wij touringbus boeken jaar tuut tuur tuut hallo bent volendam,2
kozp bezoekt volendam well that escalated quickly,2
leuk kerstuitje volendam kozp simons,2
geef mensen aandacht bewust opzochten deden gewoon fout puur gericht uitlo,2
zot we allemaal meebetalen kozp onzin subsidieslurpers uitkeringtrekkers,2
kozp schamen toestemming demonstreren vraagt moeilijkheden groepering zi,2
